Galaxy Name	Radius	Total Mass Density	Visible Mass Density	Dark Matter Density
F568-V1	0.195000, 0.785000, 1.565000, 2.345000, 3.135000, 3.915000, 4.695000, 5.480000, 6.135000, 6.920000, 7.825000, 8.605000, 9.360000, 10.755000, 14.710000	107269670.594749, 82056776.262264, 64417606.851445, 53211675.519993, 40670478.080516, 38426807.685415, 35033007.288954, 30310954.923735, 37914408.449485, 19034590.774421, 19078516.135080, 18649634.323908, 16789512.709760, 6848006.581722, 2159610.289164	53604577.568913, 32043086.439147, 13357287.692252, 9571596.095457, 8532065.792053, 7570263.664700, 6153472.501822, 5161817.043318, 6731005.932430, 3695630.175865, 3942562.307831, 3755735.723365, 3682080.547213, 1531398.338889, 305171.308927	53665093.025835, 50013689.823117, 51060319.159194, 43640079.424536, 32138412.288463, 30856544.020715, 28879534.787131, 25149137.880418, 31183402.517055, 15338960.598555, 15135953.827250, 14893898.600543, 13107432.162547, 5316608.242834, 1854438.980237
F571-8	0.110000, 0.500000, 1.055000, 1.830000, 2.885000, 3.610000, 4.275000, 5.105000, 5.775000, 6.665000, 8.275000, 10.215000, 13.325000	171200754.037623, 123490156.292868, 91323085.946737, 41569587.914647, 33043926.287963, 46474266.251105, 40641163.071358, 27862569.262330, 44241028.226959, 20325118.954475, 14111639.797297, 10035655.864940, 4933157.823876	1633366647.703878, 628481149.968593, 258112411.759337, 113002769.101674, 34959719.982366, 91748180.139428, 17880582.994650, 23609755.077872, 14508623.453570, 8969970.448737, 2500701.758994, 2632093.681845, 509654.369289	-1462165893.666256, -504990993.675725, -166789325.812599, -71433181.187027, -1915793.694403, -45273913.888322, 22760580.076708, 4252814.184458, 29732404.773390, 11355148.505738, 11610938.038303, 7403562.183094, 4423503.454587
F571-V1	0.975000, 2.915000, 4.855000, 6.805000, 8.750000, 10.690000, 12.625000	14512371.870660, 11493264.931861, 7107284.838365, 5472342.911492, 4632279.856972, 3587937.967960, 2987475.354163	8914548.965806, 4826332.914992, 1694763.133934, 1776994.944310, 1132130.355086, 931610.090921, 544586.981791	5597822.904853, 6666932.016869, 5412521.704431, 3695347.967182, 3500149.501886, 2656327.877038, 2442888.372371
F574-1	0.235000, 0.940000, 1.880000, 2.820000, 3.755000, 4.695000, 5.640000, 6.580000, 7.520000, 8.455000, 9.395000, 10.330000, 11.295000, 12.200000	57107718.519225, 45121678.819173, 33888858.827636, 28711334.137933, 23187313.472707, 18755532.254627, 16119686.835484, 14728871.933516, 12901401.909751, 12009790.723085, 10683153.442939, 10132913.908128, 8555225.227911, 9627010.766611	41180449.255044, 28869442.940960, 13440626.943839, 8151583.562742, 6826462.278159, 5621954.742237, 5196661.266311, 4279211.293202, 4200610.952837, 3328792.620643, 3612820.191732, 3144584.386568, 3098893.233843, 3144545.106470	15927269.264181, 16252235.878213, 20448231.883797, 20559750.575191, 16360851.194548, 13133577.512390, 10923025.569174, 10449660.640314, 8700790.956913, 8680998.102441, 7070333.251207, 6988329.521560, 5456331.994068, 6482465.660141
F574-2	1.085000, 3.245000, 5.405000, 7.570000, 9.740000	1816892.729372, 1485556.504392, 1090512.665497, 1053735.935225, 866515.623645	6198695.305209, 1752072.454943, 1899307.555723, 1197155.910586, 1260726.176147	-4381802.575836, -266515.950551, -808794.890227, -143419.975361, -394210.552502
F579-V1	0.210000, 0.945000, 1.790000, 2.475000, 3.370000, 4.320000, 5.215000, 6.005000, 6.845000, 7.790000, 8.685000, 10.005000, 11.530000, 13.685000	389354784.595579, 167881001.649835, 78515334.415930, 71766157.965288, 32247563.132455, 34804496.439697, 23202096.811033, 31799394.845724, 17828806.934833, 19032894.412658, 15752667.722644, 8273919.517854, 7996387.521640, 3771458.368800	73240852.187143, 41020244.185989, 23170244.873622, 21886473.369377, 11235534.252381, 13479772.678206, 10730565.158321, 13239001.915801, 8821799.810702, 7945073.057037, 8052193.884009, 3580444.078136, 3548259.708488, 1362232.846348	316113932.408436, 126860757.463846, 55345089.542308, 49879684.595910, 21012028.880075, 21324723.761492, 12471531.652711, 18560392.929924, 9007007.124131, 11087821.355621, 7700473.838635, 4693475.439718, 4448127.813153, 2409225.522451
F583-1	0.130000, 0.350000, 0.605000, 0.830000, 1.055000, 1.385000, 1.675000, 2.005000, 2.260000, 2.425000, 2.820000, 3.265000, 3.645000, 3.975000, 4.230000, 4.565000, 5.080000, 5.630000, 5.970000, 6.255000, 6.700000, 7.465000, 9.125000, 12.890000, 15.875000	169928678.537281, -9104089.579163, 14450827.944984, 36849279.219593, 24443154.581150, 27839420.737462, 22808291.339767, 30461054.424700, 57209272.616010, 46063690.545256, 19358508.745904, 29726726.607713, 24474870.597717, 39181684.533631, 33746798.692320, 25839196.579548, 17111980.771880, 18319250.904807, 40954310.819877, 20754826.120801, 18965330.717207, 8362369.024254, 4429630.993943, 1412789.170633, 4704115.216376	20610189.920395, 18311645.156412, 16227947.212140, 17225423.469384, 14189756.149764, 6900449.940470, 9545148.916984, 4963376.561903, 15558028.904144, 8389529.012873, 3910622.734861, 5302184.483678, 4390842.535807, 6103819.220045, 6256188.798965, 3835878.219172, 2873156.186484, 2980775.426659, 6783728.817631, 3909730.407594, 2948960.286156, 1668399.083397, 939677.745063, 382889.078528, 1065931.865399	149318488.616886, -27415734.735576, -1777119.267156, 19623855.750209, 10253398.431386, 20938970.796992, 13263142.422782, 25497677.862797, 41651243.711865, 37674161.532384, 15447886.011043, 24424542.124034, 20084028.061910, 33077865.313586, 27490609.893355, 22003318.360375, 14238824.585396, 15338475.478148, 34170582.002247, 16845095.713207, 16016370.431051, 6693969.940857, 3489953.248880, 1029900.092105, 3638183.350976
F583-4	0.110000, 0.490000, 1.035000, 1.625000, 2.930000, 4.135000, 4.675000, 5.025000, 5.440000, 5.960000, 6.415000, 7.015000	127476419.938654, 55167281.356589, 45987459.535880, 21257809.433407, 10042616.050684, 10662146.608509, 17058516.333027, 88415342.965453, 12470338.995922, 17901853.899708, 14245725.763766, 9544170.909696	35038478.985497, 29183374.905504, 21201489.974894, 14444711.541260, 4751133.620897, 5182861.450469, 7634449.591284, 31351655.483733, 5622834.343996, 5059740.591749, 6123496.228317, 1688526.178905	92437940.953157, 25983906.451085, 24785969.560985, 6813097.892148, 5291482.429788, 5479285.158040, 9424066.741742, 57063687.481720, 6847504.651926, 12842113.307959, 8122229.535449, 7855644.730792
IC2574	0.425000, 0.995000, 1.280000, 1.565000, 1.850000, 2.135000, 2.415000, 2.695000, 2.985000, 3.270000, 3.555000, 3.840000, 4.120000, 4.405000, 4.695000, 4.980000, 5.265000, 5.545000, 5.825000, 6.115000, 6.400000, 6.685000, 6.965000, 7.245000, 7.535000, 7.820000, 8.105000, 8.385000, 8.665000, 8.955000, 9.240000, 9.525000, 9.815000, 10.095000	7913056.423701, 6183532.744422, 11013692.012749, 7797534.286293, 8811319.943597, 14683593.731604, 9964188.092418, 13894341.177304, 12349443.507604, 14101712.796036, 10682186.958301, 16842631.430050, 6110717.521551, 18069801.047312, 4456055.359180, 19033149.822551, 5801677.361527, 18605813.956075, 7459854.328704, 18123988.482283, 10450294.775949, 17440708.850751, 11133131.945739, 17667641.733010, 12631683.734905, 15268372.900852, 8958443.848741, 23823730.231304, 5830725.394441, 20693702.704748, 10569028.411242, 18460765.062227, 11446332.953317, 18805747.899275	6859730.082765, 5325110.408574, 7298833.906803, 5846100.931993, 7104712.157110, 5664063.022605, 6775960.882308, 5393502.428707, 5669761.286119, 5016873.882846, 4613438.527410, 4202487.532993, 4659626.252923, 5014069.141598, 5587231.039422, 5484259.228972, 5353610.030390, 5816272.399290, 5415885.523753, 5511147.985841, 5592940.710039, 5021242.221142, 5363172.450947, 4737051.440816, 4921203.780726, 4784671.109414, 4719514.271820, 4531128.625558, 4453999.001575, 4059042.968428, 4573051.944774, 4308603.307812, 4156118.434115, 4547107.444270	1053326.340936, 858422.335848, 3714858.105945, 1951433.354300, 1706607.786487, 9019530.708998, 3188227.210110, 8500838.748596, 6679682.221485, 9084838.913190, 6068748.430891, 12640143.897057, 1451091.268628, 13055731.905714, -1131175.680243, 13548890.593579, 448067.331137, 12789541.556785, 2043968.804952, 12612840.496442, 4857354.065910, 12419466.629609, 5769959.494792, 12930590.292194, 7710479.954179, 10483701.791438, 4238929.576921, 19292601.605746, 1376726.392866, 16634659.736319, 5995976.466468, 14152161.754415, 7290214.519202, 14258640.455005
IC4202	0.385000, 1.180000, 1.975000, 2.745000, 3.540000, 4.340000, 5.115000, 5.885000, 6.675000, 7.470000, 8.260000, 9.055000, 9.845000, 10.630000, 11.405000, 12.130000, 12.905000, 13.725000, 14.350000, 14.785000, 15.365000, 16.135000, 16.810000, 17.490000, 18.265000, 19.135000, 20.200000, 21.455000, 22.565000, 23.290000, 24.305000, 25.465000	111979995.849291, 131582913.726302, 132949685.975043, 165055394.661028, 160025662.382186, 127904546.393539, 120463516.204674, 113080567.017593, 104238167.365601, 92523808.546512, 97151860.330891, 76615761.964322, 72328824.365123, 66469161.587924, 63255595.656108, 72121192.293014, 46225809.086632, 63005180.368644, 62795680.088937, 115099440.107854, 41731760.378379, 53922014.557743, 47450176.092001, 45579272.546602, 37217588.195425, 27407819.240045, 28317780.616530, 14049266.676546, 36263502.670841, 28432391.502443, 19284059.377873, 21022836.164619	1666672952.460758, 577319110.237473, 258334653.919026, 205739184.877939, 147991396.442932, 137558658.151897, 108428322.793124, 99199044.230270, 86445667.498491, 88973272.619723, 82187005.597227, 79968315.116068, 74103845.260708, 70289126.008308, 65170996.080566, 68049757.441553, 49589825.262316, 50350004.547607, 75654953.953706, 88347954.185348, 43344292.717764, 39333856.488400, 49401207.219047, 34032217.099284, 32255759.373252, 23453158.250921, 18126871.351796, 13992534.133858, 19748184.254375, 27969359.621451, 10240461.834034, 15554134.836229	-1554692956.611466, -445736196.511171, -125384967.943983, -40683790.216911, 12034265.939254, -9654111.758357, 12035193.411550, 13881522.787322, 17792499.867110, 3550535.926789, 14964854.733664, -3352553.151745, -1775020.895585, -3819964.420383, -1915400.424457, 4071434.851461, -3364016.175684, 12655175.821037, -12859273.864769, 26751485.922506, -1612532.339385, 14588158.069343, -1951031.127046, 11547055.447318, 4961828.822173, 3954660.989124, 10190909.264734, 56732.542688, 16515318.416465, 463031.880992, 9043597.543839, 5468701.328390
KK98-251	0.125000, 0.330000, 0.490000, 0.655000, 0.820000, 0.985000, 1.155000, 1.320000, 1.485000, 1.645000, 1.805000, 1.975000, 2.260000, 2.625000, 2.960000	15574191.383823, 14829915.517806, 17347135.132635, 18253064.732738, 21751024.489405, 21402577.118625, 22472664.824005, 24526584.017711, 26497872.443583, 32208373.572217, 32632260.512097, 32010724.641192, 13553169.725841, 14158227.593342, 11242070.751651	10166918.359257, 7991848.326182, 8510371.746312, 10350635.477459, 10894610.386083, 12547885.009802, 12877817.417823, 14157987.062750, 13503224.372968, 15013423.607945, 13639111.397582, 12763597.063636, 6136476.488535, 5352336.663154, 4550504.966819	5407273.024566, 6838067.191625, 8836763.386323, 7902429.255279, 10856414.103322, 8854692.108823, 9594847.406181, 10368596.954961, 12994648.070615, 17194949.964272, 18993149.114515, 19247127.577557, 7416693.237306, 8805890.930188, 6691565.784832
