galaxy_name	min_chi^2/df	min_ML_ratio	data_points	galaxy_type
CamB	5.618628700049837	0.5200000000000002	9	Im
D512-2	0.41069556241086075	2.569999999999989	4	Im
D564-8	8.486997164194408	4.369999999999951	6	Im
D631-7	54.374425307957345	4.089999999999957	16	Im
DDO064	0.9940232331672252	3.849999999999962	14	Im
DDO154	1026.4234623459058	18.93000000000016	12	Im
DDO161	115.3000726033901	7.69999999999988	31	Im
DDO168	27.250065246835568	5.089999999999936	10	Im
DDO170	62.3000877331108	7.459999999999885	8	Im
ESO079-G014	9.104126115630674	1.7000000000000013	15	Sbc
ESO116-G012	50.5240407559087	2.679999999999987	15	Sd
ESO444-G084	64.67433955917416	15.23999999999972	7	Im
ESO563-G021	37.108483679986655	1.320000000000001	30	Sbc
F561-1	0.63034572042907	0.9200000000000006	6	Sm
F563-1	5.622217355191622	9.829999999999835	17	Sm
F563-V1	0.17214710612809658	0.9800000000000006	6	Im
F563-V2	0.49263563458701803	6.099999999999914	10	Im
F565-V2	2.4567848930616365	11.96999999999979	7	Im
F567-2	0.2989542488262773	1.9200000000000015	5	Sm
F568-1	1.5504879562994411	5.84999999999992	12	Sc
F568-3	4.361067262115232	2.4099999999999926	18	Sd
F568-V1	0.6139324027855318	5.659999999999924	15	Sd
F571-8	131.73060892217882	1.1400000000000008	13	Sc
F571-V1	4.06451391847131	5.279999999999932	7	Sd
F574-1	2.879227234338593	3.279999999999974	14	Sd
F574-2	0.09281800037903923	0.5600000000000003	5	Sm
F579-V1	0.9094593991518685	2.669999999999987	14	Sc
F583-1	4.838374196102019	5.83999999999992	25	Sm
F583-4	0.8520780450742159	2.4599999999999915	12	Sc
IC2574	42.3558028098937	2.5999999999999885	34	Sm
IC4202	59.30246897447476	0.9700000000000006	32	Sbc
KK98-251	1.438282590002009	4.229999999999954	15	Im
NGC0024	13.308891940225752	3.2099999999999755	29	Sc
NGC0055	17.006340631962424	2.1799999999999975	21	Sm
NGC0100	9.703677365295208	1.8700000000000014	21	Scd
NGC0247	2.7928533711807995	2.4699999999999913	26	Sd
NGC0289	43.61347194576348	1.7500000000000013	28	Sbc
NGC0300	30.603881518624007	3.0799999999999783	25	Sd
NGC0801	52.724965617475874	0.9200000000000006	13	Sc
NGC0891	81.76069343370737	0.7200000000000004	18	Sb
NGC1003	189.9794783104207	3.319999999999973	36	Scd
NGC1090	53.67798285352122	1.360000000000001	24	Sbc
NGC1705	11.035496586184962	4.43999999999995	14	BCD
NGC2366	31.41363187698952	3.099999999999978	26	Im
NGC2403	840.1557256282099	1.9400000000000015	73	Scd
NGC2683	13.678512438613575	1.0000000000000007	11	Sb
NGC2841	174.88749694548764	2.109999999999999	50	Sb
NGC2903	209.522190635038	0.9000000000000006	34	Sbc
NGC2915	21.028503349975317	7.619999999999882	30	BCD
NGC2955	9.517106745414077	0.7000000000000004	24	Sb
NGC2976	0.7744379747814603	0.9300000000000006	27	Sc
NGC2998	41.80430495364142	1.5400000000000011	13	Sc
NGC3109	25.219528490476915	10.06999999999983	25	Sm
NGC3198	235.3823887115045	1.330000000000001	43	Sc
NGC3521	8.212644636517663	0.6600000000000004	41	Sbc
NGC3726	16.740008473836035	0.8300000000000005	12	Sc
NGC3741	79.36687395139614	9.689999999999838	21	Im
NGC3769	21.514810298818812	1.2300000000000009	12	Sb
NGC3877	7.563543354377064	0.7600000000000005	13	Sc
NGC3893	17.099981696623004	0.9100000000000006	10	Sc
NGC3917	4.9973738312091545	1.5600000000000012	17	Scd
NGC3949	2.239164978804884	0.6300000000000003	7	Sbc
NGC3953	0.6758341135560478	0.8500000000000005	8	Sbc
NGC3972	4.2944321323623385	1.470000000000001	10	Sbc
NGC3992	20.710808174617483	1.460000000000001	9	Sbc
NGC4010	8.658144220854409	1.290000000000001	12	Sd
NGC4013	60.61134895165412	1.0500000000000007	36	Sb
NGC4051	1.3435932438065148	0.7100000000000004	7	Sbc
NGC4068	2.7182114322335145	1.410000000000001	6	Im
NGC4085	9.10159465306606	0.6500000000000004	7	Sc
NGC4088	10.000000648737496	0.5900000000000003	12	Sbc
NGC4100	13.253450427310025	1.2400000000000009	24	Sbc
NGC4138	4.796881752479078	1.0200000000000007	7	S0
NGC4157	17.222235678584386	0.8300000000000005	17	Sb
NGC4183	4.809920862800324	2.2799999999999954	23	Scd
NGC4214	9.246807373001575	2.399999999999993	14	Im
NGC4217	40.579306392184854	0.6100000000000003	19	Sb
NGC4389	6.771472232301773	0.3100000000000001	6	Sbc
NGC4559	17.651803679479148	1.330000000000001	32	Scd
NGC5005	1.0771700180032582	0.6200000000000003	18	Sbc
NGC5033	151.9200606657477	1.6400000000000012	22	Sc
NGC5055	1543.0008895651472	0.6500000000000004	28	Sbc
NGC5371	22.37962870592644	0.7300000000000004	19	Sbc
NGC5585	163.59739501924184	1.360000000000001	24	Sd
NGC5907	114.90591358042282	1.400000000000001	19	Sc
NGC5985	13.39422226393824	1.9000000000000015	33	Sb
NGC6015	77.31660675530718	1.260000000000001	44	Scd
NGC6195	12.585946830828437	0.7400000000000004	23	Sb
NGC6503	346.02571234475494	2.07	31	Scd
NGC6674	205.09364568175525	2.1899999999999973	15	Sb
NGC6789	2.0282609198807733	4.1699999999999555	4	BCD
NGC6946	25.938354918503943	0.7900000000000005	58	Scd
NGC7331	118.40197877758159	0.8000000000000005	36	Sb
NGC7793	2.572085515800641	1.0300000000000007	46	Sd
NGC7814	77.02675040581175	1.460000000000001	18	Sab
PGC51017	1.3875222694816138	0.6400000000000003	6	BCD
UGC00128	290.72219348502244	5.619999999999925	22	Sdm
UGC00191	64.71076810671315	3.5499999999999683	9	Sm
UGC00634	141.02815098656447	7.489999999999885	4	Sm
UGC00731	2.3872592674169724	18.43000000000008	12	Im
UGC00891	122.56588369742363	8.389999999999866	5	Sm
UGC01230	2.716598762175897	4.089999999999957	11	Sm
UGC01281	3.486997574480394	4.659999999999945	25	Sdm
UGC02023	0.9447347906287505	1.330000000000001	5	Im
UGC02259	11.483437313644306	4.239999999999954	8	Sdm
UGC02455	6.928015553868136	0.21000000000000005	8	Im
